être;Быть ;Побыть 
avoir;Иметь ;Иметь
voir;видеть ;увидеть
regarder;смотреть  ;посмотреть
aller (AR);Ходить ;Пойти 
aller;идти;Пойти 
aller (voiture) (AR);Ездить ;Поехать 
aller (voiture);ехать;Поехать
venir;приходить;
sortir;Выходить;
partir;уходить ;
manger;есть  ;съесть
dormir;спать;поспать
jouer;играть;сыграть
travailler;работать  ;отработать
se coucher;ложиться;лечь
se lever;вставать;встать
se reveiller;просыпаться    ;проснуться
s'habiller;одеваться;одеться
porter (vêtements);носить  ;понести
poser;ставить  ;поставить
ouvrir;открывать    ;открыть
fermer;закрывать    ;закрыть
allumer;включать    ;включить
éteindre;выключать ;выключить 
faire;делать ;сделать
donner;давать  ;дать
boire;пить;выпить
danser;танцевать    ;потанцевать
chanter;петь  ;спеть
se reposer;отдыхать ;
courir;Бегать ;Побежать 
conduire (voiture);Водить ;Повести 
conduire;Гонять ;Погнать 
savoir;знать  ;узнать
savoir;узнавать  ;узнать
connaître;знать;Ø
aimer;любить;полюбить
plaire;нравиться;понравиться 
signifier;значить  ;
croire;верить  ;поверить
penser;думать ;подумать
se rappeler;помнить  ;запомнить
oublier;забывать  ;забыть
sembler;казаться;показаться
paraître;казаться;показаться
voyager;Путешествовать ;попутешествовать
apprendre;учить;научить
enseigner;учить;научить
pouvoir;Мочь ;Смочь 
parler;говорить;сказать 
devenir;Становиться ;Стать 
vouloir;хотеть  ;захотеть
être debout;стоять  ;постоять
demander;просить  ;попросить
demander;спрашивать ;спросить
répondre;отвечать;ответить
vivre;жить;пожить
comprendre;понимать;понять
prendre;брать  ;взять
finir;заканчивать ;закончить 
finir;кончать ;кончить
rester;оставаться    ;остаться
garder;хранить ;
attendre;ждать ;подождать
to lie (on the floor);лежать ;лечь
se trouver;находиться  ;найтись
chercher;искать  ;поискать 
trouver (+que);находить;найти
écrire;писать  ;написать
lire;читать    ;прочитать
décider;решать  ;решить
résoudre;решать  ;решить
choisir;выбирать;выбрать
retourner, revenir;возвращаться ;вернуться 
recevoir;получать ;получить
marcher;ходить  ;пойти
visiter;посещать; посетить   
remarquer;замечать  ;заметить
écouter;слышать  ;услышать
entendre;слушать ;послушать
craindre;бояться  ;забояться
sentir, ressentir;чувствовать ;почувствовать
commencer;начинать  ;начать
avoir du temps;успевать  ;успеть
réussir;успевать  ;успеть
refuser, abandonner;отказываться    ;отказаться
montrer;показывать  ;показать
apparaître;появляться ;появиться
apparaître;являться  ;явиться
S'essayer à;пытаться  ;попытаться
appeler;звать    ;позвать
monter;подниматься   ;подняться 
descendre;опускаться ;опусти́ться 
approcher;подходить  ;подойти
lancer;кидать;кинуть
jeter;кидать;кинуть
suivre;следовать  ;последовать
raconter;рассказывать ;рассказать
être capable;мочь  ;смочь
savoir faire;уметь;no pair
réussir;уметь  ;суметь
se dépêcher;бежать  ;побежать
crier;кричать ;крикнуть 
avoir lieu;происходить ;произойти 
avoir lieu;случаться;случиться
se rassembler;собираться  ;собраться
être occupé;заниматься  ;заняться
mourir;умирать  ;умереть
étudier;Изучать ;Изучить 
expliquer;объяснять ;объяснить
présenter;представлять  ;представить
rire;смеяться ;посмеяться
plaisanter, faire une blaque;шутить;пошутить
exister;быть    ;побыть
sourire;улыбаться    ;улыбнуться
apporter;приносить  ;принести
approuver, accepter;соглашаться    ;согласиться
être d'accord;соглашаться  ;согласиться
tuer;убивать  ;убить
offrir;предлагать  ;предложить
tomber;падать  ;упасть
perdre;терять  ;потерять
atteindre;доставать  ;достать
accompagner;сопровождать ;сопроводить
pardonner;прощать  ;простить
disparaître;исчезать  ;исчезнуть
se battre;бороться ;? aller chercher
frapper;бить  ;побить
envoyer;слать ;(see послать, выслать)
envoyer;присылать  ;прислать
s'asseoir;сидеть  ;сесть
s'asseoir;садиться  ;сесть
espérer;надеяться  ;понадеяться
créer;создавать  ;создать
aider;помогать  ;помочь
autoriser;позволять  ;позволить
rencontrer;встречать  ;встретить
découvrir;обнаруживать  ;обнаружить
s'occuper de;нести  ;понесит
traiter (de (txt));относиться  ;отнестись
répéter;повторять  ;повторить
brûler;гореть  ;сгореть
bouger;двигаться  ;двинуться
ajouter;добавлять  ;добавить
se demander;удивляться  ;удивиться
agir;действовать ;
voler (avion);лететь  ;полететь
voler (voleur);красть ;украсть 
appeler (tél);звонить  ;позвонить
mélanger;мешать  ;помешать
souhaiter;желать  ;пожелать
promettre;обещать  ;пообещать
sentir (odeur);пахнуть  ;imperfective, no pair
fumer;курить  ;закурить
naître;рождаться  ;родиться
respirer;дышать  ;imperfective, no pair 
arrêter;переставать  ;перестать
continuer;продолжать ;продолжить
payer;платить  ;заплатить
acheter;купить;покупать
vendre;Продавать;продать 
rembourser;отдавать  ;отдать
passer (temps);проводить;провести 
dépenser (argent);тратить;истратить
économiser;экономить ;?
nager;Плавать ;Поплыть 
gagner;выигрывать   ;выиграть
perdre (marche aussi pour perdre du temps);терять   ;потерять
dessiner;рисовать ;нарисовать
peindre;красить;покрасить 
cuisiner;готовить    ;приготовить
utiliser;использовать ;Поиспользовать 
nettoyer;чистить ;почистить 
laver;мыть ;помыть
falloir;должен (vb auxiliaire);
have to;быть должным ;
interdire;запрещать;запрети́ть
pleurer;плакать ;заплакать 
calculer;вычислять;вычислить 
mesurer;измерять;изме́рять
sécher;сушить;Высушить
plier;перегибать;перегнуть
déchirer;рвать;сорвать
casser;ломать;сломить
proposer, suggérer;предлагать;предлагать
laver, nettoyer;стирать ;стереть
inviter;приглашать;пригласить 
réserver;Регистрировать;зарегистрировать
se blesser;расшибаться;расшибиться
attaquer;атаковать;атаковать (le même)
accepter (loi,...);принимать;принять 
changer (d'avis);менять ;изменить 
changer;менять ;сменить   
transformer;превращать;Превратить 
évoluer;развиваться;Развиться 
mériter;заслуживать ;Заслужить 
ressembler (à);выглядеть (так);
préférer;предпочитать ;Предпочесть 
prendre (une douche);принимать (душ);принять (душ ) 
pratiquer;заниматься ;заняться 
s'inquiéter;волнова́ться   ;волнова́ться   
passer du temps;проводить;Провести 
happen;случаться;Случиться 
gagner (argent);зарабатывать ;Заработать 
discuter;болтать;Проболтать 
essayer;пробовать;Пробовать 
tenir;держать ;подержать 
protéger;защищать ;защищить 
mentir;лгать;солгать
causer;вызывать;вызывать
signer;подписывать;подписать
participer;участвовать;поучаствовать
have to ;придется ;прийти 
rêver;мечтать;помечтать 
construire;строить ;построить 
manquer, perdre;упускать;упустить
conseiller;советовать;посоветовать 
